timestamp,open,high,low,close,volume,OBV,closescaled,OBVscaled
2005-09-06,79.7,81.19,79.7,81.02,6305500,863228500,0.1614508804,0.2284177956
2005-09-02,79.5,80.01,79.46,79.46,3680600,856923000,0.1517451627,0.2154385644
2005-09-01,80.16,80.32,79.34,79.54,6390600,860603600,0.1522428918,0.2230147056
2005-08-31,80.35,80.79,79.87,80.62,5400800,866994200,0.1589622348,0.2361691065
2005-08-30,81,81,79.98,80.54,5674200,861593400,0.1584645057,0.2250521084
2005-08-29,80,81.75,79.9,81.34,4025300,867267600,0.1634417968,0.2367318726
2005-08-26,80.81,81.02,80.26,80.38,5029300,863242300,0.1574690475,0.2284462015
2005-08-25,81.45,81.45,80.72,81.1,3606100,868271600,0.1619486095,0.2387985046
2005-08-24,81.53,82.4,81.23,81.32,4417600,871877700,0.1633173645,0.2462212951
2005-08-23,82.7,83.14,81.6,82.03,4000300,876295300,0.1677347104,0.2553144759
2005-08-22,82.75,83.35,81.85,82.6,5157200,880295600,0.1712810303,0.2635486871
2005-08-19,81.36,83.3,81.16,82.76,6481000,885452800,0.1722764885,0.2741642594
2005-08-18,81.1,82,80.8,81.15,3713300,878971800,0.1622596902,0.2608237793
2005-08-17,81.4,81.94,80.84,81.3,4853000,882685100,0.1631929322,0.2684672301
2005-08-16,82.07,82.43,81.09,81.3,4407400,882685100,0.1631929322,0.2684672301
2005-08-15,81.9,82.94,81.61,82.5,3431100,887092500,0.1706588689,0.2775394152
2005-08-12,82.15,82.58,82.0572,82.19,4378200,883661400,0.1687301686,0.2704768445
2005-08-11,81.93,82.75,81.62,82.66,4570400,888039600,0.1716543271,0.2794889244
2005-08-10,83.65,84.01,81.97,82.02,5402400,883469200,0.1676724942,0.2700812203
2005-08-09,83.4,83.95,82.94,83.5,3793500,888871600,0.1768804828,0.2812015119
2005-08-08,83.41,83.89,83.02,83.36,4424300,885078100,0.1760094569,0.2733929775
2005-08-05,82.75,83.74,82.73,83.36,3714600,885078100,0.1760094569,0.2733929775
2005-08-04,83.75,83.89,82.98,83.12,5249900,881363500,0.1745162695,0.2657468508
2005-08-03,83.31,84.2,83.11,84.06,4256200,886613400,0.1803645866,0.2765532366
2005-08-02,83.27,83.86,83.04,83.31,5380700,882357200,0.1756983762,0.2677922813
2005-08-01,83,83.85,82.85,83.43,3664300,887737900,0.1764449698,0.2788679056
2005-07-29,83.3,83.95,83.22,83.46,4330300,891402200,0.1766316182,0.2864104949
2005-07-28,83.55,83.97,83.27,83.8,6189700,895732500,0.178746967,0.2953239775
2005-07-27,83.8,84.13,82.81,83.87,4862200,901922200,0.1791824799,0.3080648461
2005-07-26,84.15,84.35,83.85,84.12,4542900,906784400,0.1807378834,0.3180731909
2005-07-25,83.98,84.52,83.92,84.2,4457800,911327300,0.1812356125,0.327424289
2005-07-22,83.98,84.63,83.86,84.44,4570400,915785100,0.1827287999,0.3366002174
2005-07-21,84.6,84.95,83.4,84.4,8265300,911214700,0.1824799353,0.3271925134
2005-07-20,83.2,84.96,82.99,84.6,9323200,919480000,0.1837242581,0.3442057937
2005-07-19,84.72,85.11,83.7,83.7,14149700,910156800,0.1781248056,0.3250149337
2005-07-18,81.99,83.94,81.68,81.81,8705600,896007100,0.1663659553,0.2958892137
2005-07-15,82.43,82.75,81.52,82.38,7644100,904712700,0.1699122752,0.3138088069
2005-07-14,82,82.67,82,82.42,8546200,912356800,0.1701611398,0.3295434102
2005-07-13,81.16,81.75,81.16,81.45,11340000,903810600,0.1641261743,0.3119519257
2005-07-12,79.2,80.49,79.18,80.04,10945500,892470600,0.1553536987,0.2886096877
2005-07-11,79.4,79.52,78.52,78.96,7186700,881525100,0.1486343558,0.2660794879
2005-07-08,77.38,79.52,77.14,79.3,13440500,888711800,0.1507497045,0.2808725798
2005-07-07,75.15,77.53,75,77.38,10757200,875271300,0.1388042058,0.253206676
2005-07-06,74.8,76.15,74.4,75.81,8009300,864514100,0.129036272,0.2310640726
2005-07-05,74.38,74.97,74.16,74.79,5181800,856504800,0.1226902258,0.2145777422
2005-07-01,74.3,75.33,74.3,74.67,4353100,851323000,0.1219436322,0.2039115333
2005-06-30,74.8,75.49,74.07,74.2,6127000,846969900,0.1190194737,0.1949511192
2005-06-29,75.26,75.68,74.62,74.73,5519100,853096900,0.122316929,0.2075629263
2005-06-28,73.83,75.301,73.45,75.3,8188800,858616000,0.1258632489,0.2189234329
2005-06-27,74.01,74.77,73.5,73.88,6489800,850427200,0.1170285572,0.20206762
2005-06-24,75.17,75.4,74,74.01,10792100,856917000,0.117837367,0.215426214
2005-06-23,76.81,76.97,75.06,75.41,7766700,867709100,0.1265476265,0.2376406555
2005-06-22,76.83,77.49,76.67,77.23,5646300,875475800,0.1378709637,0.2536276184
2005-06-21,76.7,77,76.11,76.41,5339100,869829500,0.1327692403,0.2420052835
2005-06-20,76.03,76.98,75.57,76.55,3745600,875168600,0.1336402663,0.2529952784
2005-06-17,77.7,77.73,76.38,76.39,8593800,871423000,0.1326448081,0.2452853414
2005-06-16,76.4,77.25,76.31,77.05,7840000,880016800,0.1367510732,0.2629748056
2005-06-15,75.7,76.5,75.15,76.3,7103600,872176800,0.1320848628,0.2468369621
2005-06-14,75.05,75.43,74.73,74.89,4314900,865073200,0.1233123872,0.2322149231
2005-06-13,74.5,75.93,74.45,75.05,5715700,869388100,0.1243078455,0.2410967064
2005-06-10,74.25,75.05,74.1,74.77,4895800,863672400,0.1225657936,0.2293315186
2005-06-09,74.58,75.47,74.23,74.93,4423200,868568200,0.1235612518,0.2394090256
2005-06-08,75.15,75.4,74.63,74.8,4280000,864145000,0.122752442,0.2303043177
2005-06-07,75,76.09,75,75.04,5226600,868425000,0.1242456293,0.2391142629
2005-06-06,75.8,75.9,74.92,75,5978600,863198400,0.1239967648,0.2283558378
2005-06-03,77.06,77.1,75.74,75.79,6149900,869177000,0.1289118397,0.2406621785
2005-06-02,76.75,77.39,76.68,77.35,4025600,875326900,0.1386175574,0.2533211229
2005-06-01,75.57,77.5,75.57,76.84,7380600,871301300,0.1354445343,0.2450348343
2005-05-31,76.6,77.41,75.5,75.55,6419000,863920700,0.1274186524,0.229842619
2005-05-27,77.11,77.24,76.53,77.1,3163900,870339700,0.1370621539,0.2430554784
2005-05-26,76.45,77.41,76.29,77.14,5832000,873503600,0.1373110185,0.2495680451
2005-05-25,75.42,76.03,75.17,76,5483400,867671600,0.1302183786,0.2375634656
2005-05-24,76.14,76.51,75.56,75.81,5660700,862188200,0.129036272,0.2262764437
2005-05-23,76.3,76.95,76,76.51,4759800,867848900,0.1333914017,0.2379284196
2005-05-20,77.28,77.28,76.36,76.41,6329800,863089100,0.1327692403,0.2281308549
2005-05-19,76.5,77.64,76.37,77.16,7030400,869418900,0.1374354508,0.2411601051
2005-05-18,75,76.816,74.69,76.36,10309600,862388500,0.1324581596,0.2266887409
2005-05-17,73.93,74.43,73.33,74.29,5135600,852078900,0.1195794189,0.2054674767
2005-05-16,73.09,74.49,73.09,74.34,5501500,857214500,0.1198904996,0.2160385876
2005-05-13,72.53,73.86,72.52,73.16,7150600,851713000,0.1125489952,0.2047143087
2005-05-12,73.53,73.8,72.5,72.62,6061900,844562400,0.1091893237,0.189995525
2005-05-11,73.63,73.69,72.51,73.28,6915700,850624300,0.1132955889,0.2024733304
2005-05-10,74.75,74.76,73.04,73.3,7982200,857540000,0.1134200212,0.2167085962
2005-05-09,75.26,75.46,74.71,74.98,5616700,865522200,0.1238723325,0.233139144
2005-05-06,75.56,75.92,74.97,75.26,7750300,871138900,0.1256143844,0.2447005504
2005-05-05,78,78.11,75.33,75.5,12371800,878889200,0.1271075717,0.2606537556
2005-05-04,76.6,77.2,76.5,77.08,5512300,891261000,0.1369377216,0.286119849
2005-05-03,76.78,76.96,75.93,76.47,6196300,885748700,0.1331425372,0.2747733395
2005-05-02,76.88,77.29,76.03,76.51,7232500,891945000,0.1333914017,0.2875277935
2005-04-29,77.05,77.08,75.91,76.38,8147700,884712500,0.1325825919,0.272640427
2005-04-28,77.05,77.11,75.65,75.91,8629200,876564800,0.1296584334,0.2558692143
2005-04-27,75.69,77.18,75.5,77.05,11631400,885194000,0.1367510732,0.2736315459
2005-04-26,74.68,76.98,74.65,75.43,12484300,873562600,0.1266720587,0.2496894906
2005-04-25,75.24,75.72,74.05,74.61,10219400,861078300,0.1215703353,0.2239918273
2005-04-22,74.05,74.7,73.26,74.21,10984400,850858900,0.1190816898,0.2029562306
2005-04-21,72.99,74.1,72.8,74,16224400,839874500,0.1177751509,0.1803459591
2005-04-20,75.48,75.87,71.85,72.01,20366300,823650100,0.1053941392,0.14694968
2005-04-19,76.98,77.2,75.25,75.48,9259900,844016400,0.1269831394,0.1888716395
2005-04-18,77.15,77.75,76.14,76.65,13255000,853276300,0.1342624277,0.2079322029
2005-04-15,79.49,79.66,76.33,76.7,27906300,866531300,0.1345735084,0.2352162739
2005-04-14,84.63,85.41,83.47,83.64,10421200,894437600,0.1777515087,0.2926585574
2005-04-13,85.76,85.9722,84.24,84.57,7090700,904858800,0.1835376097,0.3141095389
2005-04-12,85.9,86.24,85.17,85.75,8429700,911949500,0.190879114,0.3287050245
2005-04-11,87.35,87.56,86.09,86.2,8296500,920379200,0.1936788403,0.3460567056
2005-04-08,88.28,88.46,87.5,87.6,5179200,928675700,0.2023890997,0.363134208
2005-04-07,89,89.2,88.1,88.44,6355700,933854900,0.2076152554,0.373795065
2005-04-06,89.05,89.38,88.706,89,7836800,940210600,0.2110993592,0.3868776278
2005-04-05,90.23,90.33,89.26,89.57,4568400,948047400,0.2146456791,0.4030088845
2005-04-04,90.08,90.62,89.773,90.32,3737800,952615800,0.2193118895,0.4124124718
2005-04-01,91.49,91.76,90.04,90.44,5721200,956353600,0.2200584832,0.4201063533
2005-03-31,90.46,91.41,90.22,91.38,4418600,962074800,0.2259068002,0.4318828623
2005-03-30,90.32,90.88,90.32,90.68,5253900,957656200,0.2215516705,0.4227876231
2005-03-29,90.74,91.07,90.18,90.6,6070400,952402300,0.2210539414,0.4119730037
2005-03-28,90.71,91.63,90.62,91.04,4088900,958472700,0.2237914515,0.4244683054
2005-03-24,90.8,91.55,90.7,90.7,4577100,954383800,0.2216761028,0.4160517201
2005-03-23,89.97,91.17,89.82,90.52,5472100,949806700,0.2205562123,0.4066302248
2005-03-22,89.61,90.34,89.26,89.5,4452500,944334600,0.2142101661,0.3953664628
2005-03-21,89.42,90.28,89.27,89.51,4402400,948787100,0.2142723823,0.4045314818
2005-03-18,89.86,89.9,89.09,89.28,7541500,944384700,0.2128414111,0.3954695886
2005-03-17,90.49,90.68,89.7,89.86,5562100,951926200,0.2164499471,0.4109930002
2005-03-16,90.74,91.4,90.25,90.65,5065300,957488300,0.2213650221,0.422442018
2005-03-15,92,92.27,91.2,91.38,3663100,962553600,0.2259068002,0.4328684235
2005-03-14,91.5,92.04,91.5,91.9,3935500,966216700,0.2291420394,0.4404085427
2005-03-11,92.25,92.41,91.2,91.51,4494300,962281200,0.22671561,0.4323077157
2005-03-10,92.35,92.8,92.09,92.41,3422500,966775500,0.2323150625,0.4415587757
2005-03-09,92.02,93,92.01,92.35,4511200,963353000,0.2319417657,0.4345139072
2005-03-08,91.7,92.56,91.7,92.13,5087800,958841800,0.2305730106,0.4252280603
2005-03-07,92.35,92.51,91.59,91.6,7046900,953754000,0.2272755553,0.4147553408
2005-03-04,92.94,93.18,92.36,92.37,4754000,960800900,0.232066198,0.4292606686
2005-03-03,93.15,93.21,92.2,92.41,4037800,965554900,0.2323150625,0.4390462946
2005-03-02,92.75,93.73,92.75,92.92,4467400,969592700,0.2354880856,0.4473576957
2005-03-01,92.64,93.43,92.59,93.3,3819900,974060100,0.2378522989,0.4565533848
2005-02-28,92.53,92.76,92.41,92.58,4949800,970240200,0.2333727369,0.4486905087
2005-02-25,92.35,92.8,92.29,92.8,4078500,975190000,0.2347414919,0.4588791691
2005-02-24,91.98,93.09,91.85,92.64,4153900,971111500,0.2337460337,0.4504839912
2005-02-23,92.29,92.44,91.55,92.1,5622800,966957600,0.2303863622,0.4419336101
2005-02-22,92.67,93.5,92.23,92.32,4825100,972580400,0.2317551173,0.4535075726
2005-02-18,93.75,94.25,92.55,93.27,4265300,977405500,0.2376656505,0.4634395508
2005-02-17,94.5,94.76,93.74,93.75,4254200,981670800,0.2406520251,0.4722192375
2005-02-16,94.23,94.97,94.2,94.62,4466500,985925000,0.2460648292,0.4809760761
2005-02-15,93.5,94.67,93.48,94.33,4148000,981458500,0.2442605612,0.4717822396
2005-02-14,93.16,94.02,93.16,93.57,2868800,977310500,0.2395321346,0.463244003
2005-02-11,92.7,93.97,92.5,93.3,4229300,974441700,0.2378522989,0.4573388696
2005-02-10,92.95,93.1,92.3,92.76,4838400,970212400,0.2344926274,0.4486332852
2005-02-09,94.14,94.83,92.54,92.7,5657100,965374000,0.2341193306,0.4386739303
2005-02-08,94.28,94.64,94.13,94.13,3541100,971031100,0.2430162384,0.450318496
2005-02-07,94.35,94.9,94.33,94.53,2837800,974572200,0.245504884,0.4576074906
2005-02-04,93.01,94.74,93,94.51,3807600,971734400,0.2453804517,0.4517661676
2005-02-03,93.87,93.94,93.06,93.54,3928700,967926800,0.2393454862,0.4439286098
2005-02-02,93.78,94.35,93.63,94.3,3597400,971855500,0.2440739128,0.4520154396
2005-02-01,93.67,94,93.37,93.86,3637400,968258100,0.2413364027,0.4446105572
2005-01-31,93.65,93.95,93.05,93.42,4759900,964620700,0.2385988926,0.4371233388
2005-01-28,92.68,93.59,92.48,92.89,5960600,959860800,0.2353014372,0.4273255682
2005-01-27,91.5,92.22,91.44,91.98,4746900,953900200,0.2296397686,0.4150562787
2005-01-26,92.3,92.87,91.94,91.95,5352000,949153300,0.2294531201,0.4052852673
2005-01-25,91.98,92.59,91.95,92.19,5070700,954505300,0.2309463075,0.4163018155
2005-01-24,92.7,92.85,91.76,91.79,6537300,949434600,0.2284576619,0.4058642947
2005-01-21,93,93.3,92.23,92.38,7002600,955971900,0.2321284141,0.4193206627
2005-01-20,92.61,93.84,92.6,93,5708600,962974500,0.2359858147,0.4337348034
2005-01-19,94.95,95.15,92.93,93.1,7352700,968683100,0.2366079761,0.4454853765
2005-01-18,93.65,95.34,93.62,94.9,8492100,976035800,0.2478068811,0.4606201625
2005-01-14,94.01,94.25,93.55,94.1,5520800,967543700,0.24282959,0.4431400374
2005-01-13,95.39,96.2,93.7,94.45,5339400,973064500,0.2450071549,0.4545040433
2005-01-12,95,95.28,94.06,95.21,5828600,978403900,0.2497355814,0.4654946558
2005-01-11,95.68,95.79,94.71,95,4746400,972575300,0.2484290425,0.4534970748
